title,category,image_url,thumbnail_url,date,featured,photographer,description
Thrilling Home Victory,matches,https://images.unsplash.com/photo-1552667466-07770ae110d0?w=1200&q=80,https://images.unsplash.com/photo-1552667466-07770ae110d0?w=400&h=400&q=80&fit=crop,2026-02-08,true,Club Photographer,Broadstreet RFC celebrates a hard-fought victory at Ivor Preece Field
Team Huddle Before Kickoff,matches,https://images.unsplash.com/photo-1531415074968-036ba1b575da?w=1200&q=80,https://images.unsplash.com/photo-1531415074968-036ba1b575da?w=400&h=400&q=80&fit=crop,2026-02-08,false,John Smith,The squad gathers for final words before taking the field
Rugby Ball on Pitch,matches,https://images.unsplash.com/photo-1544298621-35a989e2e6e0?w=1200&q=80,https://images.unsplash.com/photo-1544298621-35a989e2e6e0?w=400&h=400&q=80&fit=crop,2026-02-01,false,,Match day essentials ready for kickoff
Ivor Preece Field,clubhouse,https://images.unsplash.com/photo-1574629810360-7efbbe195018?w=1200&q=80,https://images.unsplash.com/photo-1574629810360-7efbbe195018?w=400&h=400&q=80&fit=crop,2026-01-25,false,,Our home ground on a beautiful matchday
Training Session,matches,https://images.unsplash.com/photo-1529900748604-07564a03e7a6?w=1200&q=80,https://images.unsplash.com/photo-1529900748604-07564a03e7a6?w=400&h=400&q=80&fit=crop,2026-01-20,false,Sarah Johnson,Tuesday training session with the first team
Pre-Match Warm Up,matches,https://images.unsplash.com/photo-1551958219-acbc608c6377?w=1200&q=80,https://images.unsplash.com/photo-1551958219-acbc608c6377?w=400&h=400&q=80&fit=crop,2026-01-18,false,,Players warming up before the big game
Team Celebration,events,https://images.unsplash.com/photo-1517466787929-bc90951d0974?w=1200&q=80,https://images.unsplash.com/photo-1517466787929-bc90951d0974?w=400&h=400&q=80&fit=crop,2026-01-15,true,,Post-match celebrations in the clubhouse
Match Day Crowd,events,https://images.unsplash.com/photo-1508098682722-e99c43a406b2?w=1200&q=80,https://images.unsplash.com/photo-1508098682722-e99c43a406b2?w=400&h=400&q=80&fit=crop,2026-01-15,false,,Fans showing their support from the stands
Youth Rugby Festival,youth,https://images.unsplash.com/photo-1577223625816-7546f13df25d?w=1200&q=80,https://images.unsplash.com/photo-1577223625816-7546f13df25d?w=400&h=400&q=80&fit=crop,2026-01-10,false,Mike Davies,Mini and Junior teams at Sunday festival
Empty Field at Sunset,clubhouse,https://images.unsplash.com/photo-1560272564-c83b66b1ad12?w=1200&q=80,https://images.unsplash.com/photo-1560272564-c83b66b1ad12?w=400&h=400&q=80&fit=crop,2026-01-05,false,,Peaceful evening at our home ground
Fitness Training,matches,https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?w=1200&q=80,https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?w=400&h=400&q=80&fit=crop,2026-01-03,false,,Conditioning work with the squad
Pre-Match Team Talk,matches,https://images.unsplash.com/photo-1526232761682-d26e03ac148e?w=1200&q=80,https://images.unsplash.com/photo-1526232761682-d26e03ac148e?w=400&h=400&q=80&fit=crop,2025-12-20,false,,Coach addressing the team before kickoff
Christmas Party 2025,events,https://images.unsplash.com/photo-1482517967863-00e15c9b44be?w=1200&q=80,https://images.unsplash.com/photo-1482517967863-00e15c9b44be?w=400&h=400&q=80&fit=crop,2025-12-15,true,Club Photographer,Annual Christmas celebration at the clubhouse
Youth Training Sunday,youth,https://images.unsplash.com/photo-1628452082098-617b7e6f1a00?w=1200&q=80,https://images.unsplash.com/photo-1628452082098-617b7e6f1a00?w=400&h=400&q=80&fit=crop,2025-12-10,false,,U12 team working on passing drills
Awards Night 2025,events,https://images.unsplash.com/photo-1511795409834-ef04bbd61622?w=1200&q=80,https://images.unsplash.com/photo-1511795409834-ef04bbd61622?w=400&h=400&q=80&fit=crop,2025-11-30,true,Sarah Johnson,Annual awards ceremony celebrating our players
